ye,shall,class
,,30-40
,,10-20
,2,30-40
,,70-80
,4,unkown
,3,20-30
,,40-50
,,10-20
,,unkown
,,20-30
,1,70-80
,,unkown
,,30-40
,4,10-20
,,10-20
,9,10-20
,,70-80
,,30-40
,,30-40
,4,unkown
,,20-30
,,70-80
,,unkown
,2,10-20
,,70-80
,,0-10
,,0-10
,,unkown
,,70-80
,2,20-30
2,2,40-50
,,unkown
,,80-90
,1,10-20
,,70-80
,,unkown
,1,10-20
,1,30-40
,3,40-50
,,unkown
,3,30-40
,,unkown
,,unkown
,1,20-30
,2,unkown
,,10-20
,1,50-60
,2,30-40
,,40-50
,1,20-30
,,unkown
,,unkown
,,10-20
,,30-40
,,20-30
2,,60-70
,1,40-50
,4,20-30
,2,20-30
,,70-80
,,unkown
,,unkown
,,unkown
,,unkown
,,10-20
,,30-40
,,30-40
,,unkown
,,60-70
,,50-60
,3,20-30
,1,20-30
,,unkown
,,unkown
,1,20-30
,3,30-40
,,30-40
,,10-20
,1,unkown
,1,70-80
,,10-20
,2,20-30
,1,10-20
,4,30-40
,,unkown
,,10-20
,,0-10
,1,60-70
,1,10-20
,,10-20
,5,10-20
,2,10-20
,1,10-20
,,10-20
,,20-30
,4,20-30
,,40-50
,,0-10
,,10-20
,,10-20
,1,10-20
,2,70-80
,4,unkown
,,unkown
,,unkown
,10,unkown
,2,unkown
1,,50-60
,2,20-30
,,20-30
,1,10-20
,1,20-30
,,40-50
,,30-40
,4,10-20
,,30-40
,,unkown
,,40-50
,3,unkown
,1,20-30
,,30-40
,,unkown
,,30-40
,,30-40
,,30-40
,1,10-20
,2,40-50
,1,40-50
,2,40-50
,1,40-50
2,1,20-30
,,20-30
,2,20-30
,1,30-40
,,30-40
,,30-40
,,40-50
,,30-40
,1,40-50
,1,50-60
,2,50-60
,,50-60
,,50-60
,2,50-60
,1,50-60
,,50-60
,3,50-60
,2,60-70
,,10-20
,1,20-30
,,10-20
,1,10-20
,2,20-30
,1,20-30
13,1,20-30
,3,10-20
4,1,30-40
13,1,30-40
5,1,30-40
7,,30-40
35,,30-40
19,,30-40
48,,30-40
39,3,30-40
20,,30-40
26,2,30-40
17,1,30-40
28,,30-40
,5,30-40
,1,30-40
,4,30-40
,,30-40
,,30-40
,,unkown
,4,30-40
1,3,30-40
,2,30-40
,,unkown
,,unkown
,1,unkown
,,unkown
,2,unkown
,1,unkown
,,unkown
,,70-80
,,unkown
,,70-80
,,unkown
,,unkown
,,unkown
,2,20-30
,2,30-40
,,10-20
,,unkown
,,50-60
,,unkown
,,unkown
,1,unkown
,,unkown
,,unkown
,1,30-40
,,30-40
,,30-40
,1,30-40
,1,30-40
,,60-70
,,70-80
,,20-30
,,60-70
,,60-70
,3,unkown
,,unkown
,,unkown
,,20-30
,1,20-30
,,10-20
,,20-30
,,20-30
,,30-40
,,20-30
,,20-30
,,10-20
,,20-30
,,20-30
,,20-30
,,20-30
,,20-30
,,20-30
,,20-30
,,30-40
,3,40-50
,2,40-50
,1,40-50
,,40-50
,1,60-70
,,10-20
,2,10-20
,,10-20
,,20-30
,,20-30
,,30-40
,,20-30
,,10-20
,,20-30
,1,20-30
,1,20-30
,2,20-30
,,30-40
,,30-40
,,unkown
,1,30-40
,1,30-40
,3,30-40
,1,30-40
,2,30-40
,,30-40
,,30-40
,2,40-50
,,40-50
,3,40-50
,,40-50
,1,40-50
,,40-50
,,40-50
,1,40-50
,1,40-50
,,40-50
,1,40-50
,,10-20
,1,50-60
,,10-20
,,40-50
